Date,BANKINDIA,SBIN,IDBI,RELIANCE,ICICIBANK
06/01/2018,180.48,154.51,207.99,153.51,156.51
06/04/2018,180.48,153.51,206.99,152.51,156.51
06/05/2018,180.51,152.49,206.02,151.5,156.5
06/06/2018,180.51,152.49,206.02,151.5,156.5
06/07/2018,180.51,148.49,206.02,151.5,156.5
06/08/2018,182.5,149.49,205.5,152.51,157.5
06/11/2018,182.5,149.49,205.5,152.51,157.5
06/12/2018,182.5,148.49,202.5,151.51,156.5
06/13/2018,184.5,150.49,204.5,153.51,158.5
06/14/2018,183.5,149.49,205,152.51,157.5
06/15/2018,183.5,149.49,205,152.51,157.5
06/18/2018,182.5,149.49,206,149.01,158
06/19/2018,187.5,153.49,210,156.51,161.5
06/20/2018,183.98,150.95,205.33,153.88,158.72
06/21/2018,183.01,153.38,208.73,150,162.12
06/22/2018,183.97,151.92,197.07,152.91,158.72
06/25/2018,183.97,151.92,197.07,152.91,158.72
06/26/2018,187.85,153.86,200.47,154.85,160.66
06/27/2018,192.7,158.71,205.8,159.7,165.51
06/28/2018,200.46,167.45,212.59,168.43,175.21
06/29/2018,202.41,164.53,212.59,164.55,171.33
