Date,BANKINDIA,SBIN,IDBI,RELIANCE,ICICIBANK
06/01/2018,202.49,173.5,245.49,173.52,176.51
06/04/2018,202.49,172.5,244.49,172.51,176.51
06/05/2018,202.52,171.49,243.5,171.51,176.51
06/06/2018,202.52,171.49,243.5,171.51,176.51
06/07/2018,202.52,167.49,243.5,171.51,176.51
06/08/2018,204.51,168.49,242,172.51,177.49
06/11/2018,204.51,168.49,242,172.51,177.49
06/12/2018,204.51,167.49,238,171.51,176.49
06/13/2018,206.51,169.49,240.5,173.51,178.49
06/14/2018,205.51,168.49,241,172.51,177.49
06/15/2018,205.51,168.49,241,172.51,177.49
06/18/2018,204.51,168.49,242,169.01,177.99
06/19/2018,209.51,172.49,246,176.51,181.49
06/20/2018,206.45,170.12,242.75,174.07,178.95
06/21/2018,205.47,172.58,244.23,170.15,182.39
06/22/2018,206.45,171.1,226.55,173.09,178.95
06/25/2018,206.45,171.1,226.55,173.09,178.95
06/26/2018,210.37,173.06,229.49,175.05,180.91
06/27/2018,215.28,177.97,235.38,179.95,185.82
06/28/2018,223.12,186.79,241.75,188.78,195.62
06/29/2018,225.08,183.85,241.75,184.86,191.7
