Date,BANKINDIA,SBIN,IDBI,RELIANCE,ICICIBANK
06/01/2018,98.5,76,105.51,77,77
06/04/2018,97.5,74,109.51,74,76
06/05/2018,97.49,73,108.5,73,76
06/06/2018,97.49,73,108.5,73,76
06/07/2018,97.49,69,107,73,74
06/08/2018,99.5,70.01,108.01,74,75
06/11/2018,98.5,69.01,108.01,74,75
06/12/2018,98.5,68.01,107.01,73,74
06/13/2018,100.5,70.01,108.01,74,75
06/14/2018,101.5,69.01,107.01,73,74
06/15/2018,101.5,69.01,107.01,73,74
06/18/2018,100.5,69.01,108.01,69.5,74.5
06/19/2018,105.5,72.01,111.01,77,78
06/20/2018,103.25,73.1,108.82,77.73,78.66
06/21/2018,102.32,75.42,119.49,74.02,81.91
06/22/2018,103.25,74.03,108.82,76.81,78.67
06/25/2018,103.25,74.04,108.82,76.81,79.13
06/26/2018,106.96,75.89,112.53,78.67,80.99
06/27/2018,111.6,81.46,118.09,84.24,88.88
06/28/2018,119.01,89.81,124.58,92.58,98.15
06/29/2018,120.87,87.03,124.58,88.87,94.44
